                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.44663,                0.26581,                0.84341,                0.99983,                      1,                  0.995,                0.92849,                 0.4119,                0.23322,                0.83606,             0.00090785,             0.00090785,             0.00090785
                    140,                0.43322,                0.25963,                0.82049,                0.99955,                      1,                  0.995,                0.93095,                0.38967,                  0.223,                0.82662,             0.00090235,             0.00090235,             0.00090235
                    141,                0.43842,                0.26357,                0.83248,                0.99961,                      1,                  0.995,                0.93476,                0.38713,                0.22361,                0.82445,             0.00089685,             0.00089685,             0.00089685
                    142,                0.44892,                0.26977,                 0.8298,                0.99956,                      1,                  0.995,                0.92639,                0.39907,                0.22907,                0.82766,             0.00089134,             0.00089134,             0.00089134
                    143,                0.42622,                0.25178,                0.83691,                0.99948,                      1,                  0.995,                 0.9319,                0.39244,                0.22081,                0.82629,             0.00088584,             0.00088584,             0.00088584
                    144,                 0.4485,                0.25737,                0.83822,                0.99957,                      1,                  0.995,                0.92922,                0.39876,                0.21066,                0.83105,             0.00088034,             0.00088034,             0.00088034
                    145,                0.44466,                0.25887,                0.84281,                0.99964,                      1,                  0.995,                0.93199,                0.39588,                0.21534,                0.82769,             0.00087484,             0.00087484,             0.00087484
                    146,                 0.4492,                0.26702,                0.83224,                0.99983,                      1,                  0.995,                0.92682,                0.41456,                0.21942,                0.83365,             0.00086934,             0.00086934,             0.00086934
                    147,                0.44852,                0.25754,                0.84992,                0.99967,                      1,                  0.995,                0.93036,                 0.4095,                0.21323,                0.83364,             0.00086384,             0.00086384,             0.00086384
                    148,                0.43461,                 0.2533,                0.83143,                0.99953,                      1,                  0.995,                0.92979,                0.40398,                0.21185,                0.82992,             0.00085834,             0.00085834,             0.00085834
                    149,                0.43073,                0.25202,                0.83663,                0.99954,                      1,                  0.995,                0.92539,                0.40415,                0.21657,                 0.8286,             0.00085284,             0.00085284,             0.00085284
                    150,                0.43953,                0.25849,                0.83834,                0.99948,                      1,                  0.995,                0.93118,                0.38749,                0.20825,                0.82515,             0.00084734,             0.00084734,             0.00084734
                    151,                0.42848,                0.25692,                0.83813,                0.99983,                      1,                  0.995,                0.93605,                0.38667,                0.21078,                0.82448,             0.00084184,             0.00084184,             0.00084184
                    152,                0.42987,                0.25586,                 0.8426,                0.99982,                      1,                  0.995,                0.93683,                 0.3848,                 0.2177,                0.82487,             0.00083633,             0.00083633,             0.00083633
                    153,                0.45347,                0.26133,                0.84809,                0.99958,                      1,                  0.995,                0.92745,                0.40665,                0.21651,                0.83074,             0.00083083,             0.00083083,             0.00083083
                    154,                0.43607,                0.25289,                0.83147,                0.99952,                      1,                  0.995,                0.93545,                0.38595,                0.21151,                0.82431,             0.00082533,             0.00082533,             0.00082533
                    155,                 0.4393,                0.25529,                0.83637,                0.99958,                      1,                  0.995,                0.92766,                0.41195,                 0.2073,                0.83551,             0.00081983,             0.00081983,             0.00081983
                    156,                0.43423,                0.25077,                0.83624,                0.99967,                      1,                  0.995,                0.93596,                0.38272,                0.21238,                0.82464,             0.00081433,             0.00081433,             0.00081433
                    157,                0.41348,                0.24271,                0.82458,                0.99968,                      1,                  0.995,                0.92357,                0.41377,                0.21842,                0.83857,             0.00080883,             0.00080883,             0.00080883
                    158,                0.43453,                0.25635,                0.82758,                0.99955,                      1,                  0.995,                 0.9328,                0.39647,                0.21521,                0.82643,             0.00080333,             0.00080333,             0.00080333
